Agent 0 | Tick: 180 - ['d', 'd', 'd', 'l', 'l']
Agent 1 | Tick: 252 - ['']
Agent 1 | Tick: 253 - ['']
Agent 1 | Tick: 254 - ['']
Agent 1 | Tick: 255 - ['']
Agent 1 | Tick: 256 - ['']
Agent 0 | Tick: 181 - ['']
Agent 1 | Tick: 257 - ['']
Agent 1 | Tick: 258 - ['']
Agent 0 | Tick: 182 - ['']
Agent 1 | Tick: 259 - ['']
Agent 0 | Tick: 183 - ['']
Agent 1 | Tick: 260 - ['']
Agent 0 | Tick: 184 - ['']
Agent 1 | Tick: 261 - ['u', 'r', 'r', 'r', 'r', 'u', 'r', 'r', 'd', 'r', 'p']
Agent 0 | Tick: 185 - ['']
Agent 0 | Tick: 186 - ['']
Agent 0 | Tick: 187 - ['']
Agent 0 | Tick: 188 - ['']
Agent 0 | Tick: 189 - ['']
Agent 0 | Tick: 190 - ['']
Agent 0 | Tick: 191 - ['']
Agent 0 | Tick: 192 - ['']
Agent 0 | Tick: 193 - ['u', 'l', 'l', 'l', 'l', 'u', 'u']
Agent 1 | Tick: 262 - ['d']
Agent 1 | Tick: 263 - ['d', 'd', 'd']
Agent 1 | Tick: 264 - ['']
Agent 0 | Tick: 194 - ['u']
Agent 0 | Tick: 195 - ['u', 'r', 'r', 'r', 'r', 'd', 'r', 'r', 'r', 'p']
Agent 1 | Tick: 265 - ['l', 'd', 'l', 'l', 'd', 'l', 'l', 'l', 'l', 'l', 'u', 'p']
Agent 0 | Tick: 196 - ['d', 'd', 'd', 'l', 'l', 'l', 'l', 'l', 'p']
Agent 1 | Tick: 266 - ['d', 'r', 'r', 'r', 'r', 'r', 'u', 'r', 'r', 'p']
Agent 0 | Tick: 197 - ['']
Agent 0 | Tick: 198 - ['r', 'u', 'u', 'l']
Agent 1 | Tick: 267 - ['l']
Agent 1 | Tick: 268 - ['d', 'l']
Agent 0 | Tick: 199 - ['']
Agent 1 | Tick: 269 - ['l']
Agent 0 | Tick: 200 - ['']
Agent 1 | Tick: 270 - ['r']
Agent 0 | Tick: 201 - ['']
Agent 0 | Tick: 202 - ['']
Agent 1 | Tick: 271 - ['r']
Agent 1 | Tick: 272 - ['r']
Agent 0 | Tick: 203 - ['']
Agent 1 | Tick: 273 - ['l']
Agent 0 | Tick: 204 - ['']
Agent 1 | Tick: 274 - ['u']
Agent 0 | Tick: 205 - ['']
Agent 1 | Tick: 275 - ['l']
Agent 0 | Tick: 206 - ['']
Agent 0 | Tick: 207 - ['']
Agent 1 | Tick: 276 - ['d']
Agent 0 | Tick: 208 - ['']
Agent 1 | Tick: 277 - ['d']
Agent 1 | Tick: 278 - ['l']
Agent 0 | Tick: 209 - ['']
Agent 0 | Tick: 210 - ['']
Agent 1 | Tick: 279 - ['u']
Agent 1 | Tick: 280 - ['u', 'r']
Agent 0 | Tick: 211 - ['']
Agent 0 | Tick: 212 - ['']
Agent 1 | Tick: 281 - ['r']
Agent 0 | Tick: 213 - ['']
Agent 1 | Tick: 282 - ['l']
Agent 0 | Tick: 214 - ['']
Agent 1 | Tick: 283 - ['u']
Agent 0 | Tick: 215 - ['']
Agent 1 | Tick: 284 - ['l']
Agent 0 | Tick: 216 - ['']
Agent 0 | Tick: 217 - ['']
Agent 1 | Tick: 285 - ['d']
Agent 0 | Tick: 218 - ['']
Agent 1 | Tick: 286 - ['d']
Agent 1 | Tick: 287 - ['l']
Agent 0 | Tick: 219 - ['']
Agent 0 | Tick: 220 - ['u', 'r', 'r']
Agent 1 | Tick: 288 - ['u']
Agent 1 | Tick: 289 - ['u', 'r']
Agent 0 | Tick: 221 - ['r']
Agent 1 | Tick: 290 - ['']
Agent 1 | Tick: 291 - ['d']
Agent 0 | Tick: 222 - ['l', 'l', 'l', 'l', 'l', 'l', 'd', 'd', 'd', 'r', 'd', 'r', 'p']
Agent 1 | Tick: 292 - ['d']
Agent 1 | Tick: 293 - ['u', 'l', 'l', 'u', 'u', 'u', 'r', 'r', 'r', 'r', 'd', 'r', 'd', 'd', 'd', 'r']
Agent 0 | Tick: 223 - ['u', 'l', 'p']
Agent 0 | Tick: 224 - ['']
Agent 0 | Tick: 225 - ['u', 'l']
Agent 1 | Tick: 294 - ['l', 'l', 'd', 'd', 'd', 'r', 'r', 'u']
Agent 0 | Tick: 226 - ['l']
Agent 0 | Tick: 227 - ['']
Agent 0 | Tick: 228 - ['']
Agent 0 | Tick: 229 - ['']
Agent 0 | Tick: 230 - ['']
Agent 0 | Tick: 231 - ['']
Agent 0 | Tick: 232 - ['']
Agent 1 | Tick: 295 - ['r', 'r', 'r', 'u']
Agent 0 | Tick: 233 - ['']
Agent 0 | Tick: 234 - ['']
Agent 0 | Tick: 235 - ['']
Agent 0 | Tick: 236 - ['']
Agent 1 | Tick: 296 - ['d', 'r', 'r', 'u']
Agent 0 | Tick: 237 - ['']
Agent 0 | Tick: 238 - ['']
Agent 0 | Tick: 239 - ['']
Agent 0 | Tick: 240 - ['']
Agent 1 | Tick: 297 - ['u']
Agent 0 | Tick: 241 - ['d', 'd', 'd', 'd', 'd']
Agent 1 | Tick: 298 - ['']
Agent 1 | Tick: 299 - ['']
Agent 1 | Tick: 300 - ['']
Agent 1 | Tick: 301 - ['']
Agent 0 | Tick: 242 - ['d']
Agent 1 | Tick: 302 - ['']
