Tick: 264 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 265 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 266 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 267 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 268 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 269 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 270 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 271 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 272 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 273 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 274 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 275 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 276 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 277 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 278 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 279 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 280 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 281 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 282 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 283 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 284 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 285 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 286 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 287 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 288 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 289 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 290 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 291 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 292 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 293 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 294 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 295 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 296 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 297 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 298 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 299 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 300 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 301 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 302 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 303 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 304 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 305 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 306 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 307 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 308 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 309 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
Tick: 310 - ['d', 'l', 'd', 'l', 'l', 'u', 'l', 'l', 'p']
